OBJECTID_1,OBJECTID,CITY_TYPE,LCITY,COMMUNITY,LABEL,SOURCE,ShapeSTAre,ShapeSTLen,City,F5__Fully_Vaccinated,Population_5__,F5__Pop_Vaccinated___,Cases,Case_rate,Deaths,Death_rate,Date
64,110,City,Los Angeles,Little Bangladesh,Los Angeles - Little Bangladesh,LA City,13980368.54,15856.20276,Los Angeles,"20,801","26,884",77.4,7387,26063,39,138,
65,111,City,Los Angeles,Little Tokyo,Los Angeles - Little Tokyo,LA City,6229587.159,11677.794,Los Angeles,"3,358","3,018",≥ 95,1182,37727,14,447,
66,112,City,Los Angeles,Longwood,Los Angeles - Longwood,LA City,6570202.854,13147.19558,Los Angeles,"2,843","4,120",69,1441,33480,14,325,
67,113,City,Los Angeles,Los Feliz,Los Angeles - Los Feliz,LA City,291480012.4,90452.02909,Los Angeles,"16,349","20,685",79,4589,21238,36,167,
68,114,City,Los Angeles,Manchester Square,Los Angeles - Manchester Square,LA City,21121948.32,18577.93638,Los Angeles,"5,512","8,035",68.6,2588,30319,22,258,
69,115,City,Los Angeles,Mandeville Canyon,Los Angeles - Mandeville Canyon,LA City,121291810.2,75092.65881,Los Angeles,"2,683","3,006",89.3,639,20455,1,32,
70,116,City,Los Angeles,Mar Vista,Los Angeles - Mar Vista,LA City,98062542.66,51028.69841,Los Angeles,"31,738","39,950",79.4,8628,20315,46,108,
71,117,City,Los Angeles,Marina Peninsula,Los Angeles - Marina Peninsula,LA City,10727535.52,23869.85597,Los Angeles,"3,392","4,159",81.6,786,18028,5,115,
72,118,City,Los Angeles,Melrose,Los Angeles - Melrose,LA City,124916837,83828.09051,Los Angeles,"54,428","73,626",73.9,22024,28346,261,336,
73,119,City,Los Angeles,Mid-city,Los Angeles - Mid-city,LA City,31337935.88,29831.33234,Los Angeles,"10,806","14,276",75.7,3827,25462,54,359,
74,120,City,Los Angeles,Miracle Mile,Los Angeles - Miracle Mile,LA City,33258285.1,40344.75238,Los Angeles,"13,317","17,113",77.8,3960,22018,22,122,
75,121,City,Los Angeles,Mission Hills,Los Angeles - Mission Hills,LA City,103579267.2,49657.95311,Los Angeles,"18,121","22,731",79.7,9997,41440,152,630,
76,122,City,Los Angeles,Mt. Washington,Los Angeles - Mt. Washington,LA City,65805806.92,43857.36539,Los Angeles,"16,696","22,938",72.8,6927,28689,75,311,
77,123,City,Los Angeles,North Hills,Los Angeles - North Hills,LA City,145908548,57611.64294,Los Angeles,"42,120","57,846",72.8,21290,34576,193,313,
78,124,City,Los Angeles,North Hollywood,Los Angeles - North Hollywood,LA City,315116907,108271.6299,Los Angeles,"98,325","143,151",68.7,49801,32889,485,320,
79,125,City,Los Angeles,Northridge,Los Angeles - Northridge,LA City,267831365.9,81470.97013,Los Angeles,"49,485","67,410",73.4,20937,29997,219,314,
80,126,City,Los Angeles,Pacific Palisades,Los Angeles - Pacific Palisades,LA City,160325460.2,86796.79531,Los Angeles,"17,022","20,305",83.8,4109,19299,18,85,
81,127,City,Los Angeles,Pacoima,Los Angeles - Pacoima,LA City,165209283.1,56530.69432,Los Angeles,"51,224","70,578",72.6,33555,43590,286,372,
82,128,City,Los Angeles,Palisades Highlands,Los Angeles - Palisades Highlands,LA City,515226431.4,131317.8388,Los Angeles,"3,138","3,680",85.3,778,20229,2,52,
83,129,City,Los Angeles,Palms,Los Angeles - Palms,LA City,51069842.01,36741.53934,Los Angeles,"31,707","41,501",76.4,9384,21387,79,180,
84,130,City,Los Angeles,Panorama City,Los Angeles - Panorama City,LA City,105542698.7,51192.02675,Los Angeles,"50,608","70,237",72.1,28491,37862,334,444,
85,131,City,Los Angeles,Park La Brea,Los Angeles - Park La Brea,LA City,13349688.1,17145.01918,Los Angeles,"8,781","12,815",68.5,2566,18895,3,22,
86,132,City,Los Angeles,Pico-Union,Los Angeles - Pico-Union,LA City,37351718.72,29435.38883,Los Angeles,"26,418","39,279",67.3,14400,34415,284,679,
87,133,City,Los Angeles,Playa Del Rey,Los Angeles - Playa Del Rey,LA City,18667481.96,31018.7845,Los Angeles,"2,251","2,997",75.1,476,14894,4,125,
88,134,City,Los Angeles,Playa Vista,Los Angeles - Playa Vista,LA City,37667428.33,39005.96416,Los Angeles,"10,220","10,671",≥ 95,2729,24929,14,128,
89,135,City,Los Angeles,Porter Ranch,Los Angeles - Porter Ranch,LA City,228354337,76200.86352,Los Angeles,"29,070","34,546",84.1,8360,23491,63,177,
